"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
348,"7+ years","4 - 7 years","Every week","Professionally;","Data preparation;Statistical analysis;",NA,NA,NA,"Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat important","Extremely important","Very important","Important","Extremely important","Extremely important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;Spreading the word about data.table;","I haven't contributed to data.table yet;Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
349,"7+ years","7+ years","Every day","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;In production;","fast and no package dependency",NA,"merge( (list of dt) , by)","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Important","Extremely important","Extremely important","Extremely important","Important","Very important","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Not useful to me",NA,"No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
350,"7+ years","2 - 4 years","Every month","Side projects;","Data preparation;Machine learning;As a dependency in my R package(s);","speed","complicated syntax",NA,"Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Very important","Extremely important","Extremely important","Important","Important","Extremely important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;Reporting issues;","I haven't contributed to data.table yet;Spreading the word about data.table;",NA,"I would focus on publicity.",NA,NA,NA,NA
351,"7+ years","7+ years","Every day","Professionally;","Data preparation;In Shiny apps;In production;Statistical analysis;","syntax, efficiency, low memory, vectorization","know all the abreviate function, such as .I, .GRP, by, all join functions etc...","fill na, add rows like col with the "":="" operator, more possibility of vectorization","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Extremely important","Very important","Somewhat important","Somewhat important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;Giving talks/tutorials on data.table;",NA,"keep it simple, readable and efficient ! data.table >> dplyr","spread the word, give tutorial to my collegue",NA,"thanks for this survey, very good initiative !",NA
352,"2 - 4 years","12 - 24 months","Every week","Professionally;","Data preparation;As a dependency in my R package(s);In Shiny apps;In production;","< masked >","< masked >","< masked >","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reporting issues;Submitting requests for new features;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
353,"7+ years","4 - 7 years","Every day","Professionally;","As a dependency in my R package(s);Data preparation;Statistical analysis;","speed and ability to handle large datasets without making copies","column selection using character vector when programming functions (ie not writing for interactive use), remembering to set ""with = F""","intgration with |> so that functions like set and be used in a pipe without wrapping in an (\(x){})() construct","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Extremely important","Somewhat important","Not important at all","Very important","Very important","Important","Very important","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
354,"7+ years","4 - 7 years","Occasionally","Professionally;","Data preparation;Statistical analysis;In Shiny apps;In production;","speed","syntax","working with native pipe","Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Very important","Very important","Extremely important","Extremely important","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
355,"4 - 7 years","4 - 7 years","Every week","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);In production;","compact syntax.  To-the-point solutions for almost all common problems","finding a tutorial that is both to-the-point and complete. There is no such ""industry standard"" documentation",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Very important","Very important","Very important","Somewhat important","Very important","Extremely important","Extremely important","Somewhat satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,"value-free (there's too much talk about ""values"" anyhow); design principles = correctness, speed, suggestive syntax, no-suprprise-principle; objectives = ? whaddyamean :-) ??",NA,"please keep the hell away from docs other than: Detailed Design Description and a User Manual","thank you. Thank you! for your beautiful product. For us, you're a god.  ;)",NA
356,"7+ years","7+ years","Every month","Professionally;","Data preparation;As a dependency in my R package(s);In Shiny apps;In production;Statistical analysis;","Speed, efficiency and flexibility","Readability and occasional niche tasks can be more difficult with data.table","Ability to easily add in rows,  quick way to apply j over each row (effectively grouping by a unique id)","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Important","Extremely important","Important","Extremely important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;","Time and my place of work makes it difficult to use github so we tend to be on an old version of the package anyway","Improve readability and keep innovating",NA,NA,NA,NA
357,"7+ years","2 - 4 years","Every day","Professionally;Academic research;","Data preparation;Statistical analysis;","The ease and speed of subsetting data and summarising it","some syntax isn't explained clearly in the vignettes so I get it wrong when I haven't used it for a while",NA,"Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Very important","Very important","Important","Important","Important","Very important","Very important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
358,"7+ years","4 - 7 years","Every month","Side projects;","Data preparation;Statistical analysis;","speed",NA,NA,"Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Very important","Very important","Important","Very important","Very important","Extremely important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
359,"4 - 7 years","2 - 4 years","Occasionally","Professionally;","Data preparation;As a dependency in my R package(s);","< masked >","< masked >","< masked >","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Important","Very important","Important","Extremely important","Extremely important","Very satisfied","Very satisfied","Somewhat dissatisfied","Very satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
360,"7+ years","7+ years","Every day","Professionally;","Data preparation;Statistical analysis;In production;","simplicity in grammar and speed","cannot think of any at the moment","import excel file directly, some ability to work with geo/spatial data","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Very important","Extremely important","Extremely important","Extremely important",NA,"Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","I prefer the current way","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Writing/editing documentation;Adding translations;Reviewing R code;","Spreading the word about data.table;","Cannot think of any at the moment",NA,NA,NA,"I cannot thank the authors of this great package enough. I love data.table!",NA
361,"7+ years","4 - 7 years","Every week","Professionally;","Data preparation;Statistical analysis;",NA,NA,NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Important","Important","Very important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Reporting issues;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
362,"7+ years","4 - 7 years","Every week","Academic research;Professionally;","Data preparation;Statistical analysis;","clarity of programming",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied",NA,"Very important","Extremely important","Extremely important","Important","Somewhat important","Important","Important","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very satisfied","Somewhat useful to me","walrus","Maybe",NA,NA,NA,NA,NA,NA,"just want to thank you guys for making an incredible product.  really appreciate all the work that went into this",NA
363,"7+ years","4 - 7 years","Every day","Professionally;Academic research;Teaching;Side projects;","Data preparation;Statistical analysis;In Shiny apps;In production;","< masked >","< masked >","< masked >","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I would love to but I am not an R programming expert;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
364,"7+ years","7+ years","Every day","Professionally;Side projects;","Data preparation;In production;In Shiny apps;Statistical analysis;Machine learning;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Extremely important","Very important","Extremely important","Very important","Very important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","setj also fine; current ':=' also fine","Maybe","Adding translations;","Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
365,"7+ years","4 - 7 years","Every day","Professionally;Teaching;","Data preparation;Statistical analysis;Machine learning;In Shiny apps;In production;","fast compacts grammar","none","always love new goodies","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Very important","Very important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","list(new1 = sum(col). ...) is already fine","Maybe","Spreading the word about data.table;","Spreading the word about data.table;Giving talks/tutorials on data.table;","perfectly satisfied","compact grammar, lighting fast execution",NA,NA,NA,NA
366,"7+ years","4 - 7 years","Every day","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);In production;","once you've learned it - it is fast!","none really - I do sometimes have trouble formatting the dcast function",NA,"Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very important","Extremely important","Important","Important","Somewhat important","Very important","Extremely important","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
367,"7+ years","7+ years","Every day","Professionally;","Data preparation;Statistical analysis;Machine learning;As a dependency in my R package(s);In Shiny apps;In production;","Speed / similarity to SQL","RAM limits","see 7","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reviewing R code;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
368,"4 - 7 years","4 - 7 years","Every day","Academic research;Teaching;Side projects;","Data preparation;Statistical analysis;Machine learning;In Shiny apps;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Extremely important","Extremely important","Extremely important","Important","Very important","Extremely important","Extremely important","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me",NA,"Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
369,"4 - 7 years","2 - 4 years","Every week","Professionally;Academic research;","Data preparation;As a dependency in my R package(s);","trivial dependencies, speed, keys","knowing when data is modified in place versus copied and then modified",NA,"Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Extremely important","Important","Important","Important","Very important","Somewhat important","Somewhat important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
370,"7+ years","4 - 7 years","Every day","Academic research;Teaching;","Data preparation;","Intuitive methods for data wrangling plus speed on large datasets.","I never understand how to run functions in a data.table like summary() or lm().","I hate the names of some data.table functions. It's cheesy. Do we really need to say fread()? Just read() would be fine.","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Reviewing R code;Donating financially;Writing/editing documentation;Submitting R code;","I haven't contributed to data.table yet;","Maybe a dedicated web page for people to collaborate or donate money.","Concise and non-cheesy syntax. More publicity like the dreadful tidyverse gets. No DEI. No pipe operator.","No DEI. Merit only.","NA","I love data.table. I want it to succeed. Please no pipes like tidyverse though. No function bloat.",NA
371,"7+ years","7+ years","Every week","Professionally;","Data preparation;In production;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Not important at all","Extremely important","Important","Important","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
372,"7+ years","3 - 12 months","Every week","Academic research;Professionally;","Data preparation;","Speed and memory efficiency","Learning and understanding the syntax",NA,"Very satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Important","Important","Very important","Very important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
373,"7+ years","4 - 7 years","Every day","Professionally;Academic research;Teaching;Side projects;","Data preparation;Statistical analysis;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Writing/editing documentation;Adding translations;Donating financially;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
374,"7+ years","7+ years","Every day","Professionally;Academic research;Side projects;","Data preparation;Statistical analysis;Machine learning;As a dependency in my R package(s);","Speed, elegance, robustness, powerful tools, and tight syntax.","1) rbind's issues with factor levels, descriptive attributes, date fields (iDate, Positx) issues. Specifically, when it is called internally with merge, and rbindlist.  2) That melt's measure_var = measure() isn't done, and that measure looks at global for the value. 3) The ability to := a selection of fields for a join instead of writing out everyone of them.","I use a ""setf"" function that is the same as set but sets a value as a function with arguments.","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Important","Somewhat important","Very important","Important","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Not useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Yes","Giving talks/tutorials on data.table;Reporting issues;Submitting requests for new features;Reviewing R code;Submitting R code;","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;","A more casual place to discuss topics and contribute, like a data.table forum.","Great communication, innovation, and dedication to improving.","I don't know.","I am not familiar.","I find the work done on data.table inspiring, and I would have likely quit using R entirely if the only tools I had were tidy.",NA
375,"7+ years","7+ years","Every week","Side projects;","Data preparation;","ability to chain or chain operations","distraction by dplyr methods",NA,"Very satisfied","Neither satisfied nor dissatisfied","Very satisfied",NA,"Very satisfied","Very satisfied","Somewhat satisfied","Very important","Very important","Somewhat important","Extremely important","Very important","Extremely important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Spreading the word about data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
376,"7+ years","4 - 7 years","Every week","Professionally;","Data preparation;Statistical analysis;Machine learning;","concise syntax, speed","Learning how to use it. Some syntax is hard to remember, e.g., reshaping.",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Extremely important",NA,"Very important",NA,"Very important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No",NA,"I haven't contributed to data.table yet;","Documentation explaining the code of data.table. I mean the big picture, choices made but also some details.","Perhaps it would be good take steps to ensure that data.table is continued even if some people drop out.",NA,NA,NA,NA
377,"2 - 4 years","12 - 24 months","Occasionally","Side projects;","Statistical analysis;","The fast that realize operations","To learn  the syntax of data.table, besides that for me dplyr's syntax is simpler.","At this moment no","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Very important","Very important","Very important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,"I think that data.table is  a great package. But also believe that dplyr is more convenient because the content and syntax of tidyverse.",NA
378,"7+ years","7+ years","Every day","Professionally;Academic research;Side projects;","Data preparation;Statistical analysis;Machine learning;As a dependency in my R package(s);In Shiny apps;In production;","Speed","More tutorials and documentation","Progress reporting when looping through subsets and operating on .SD","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very dissatisfied","Extremely important","Extremely important","Extremely important","Extremely important","Somewhat important","Important","Extremely important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No",NA,"I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
379,"7+ years","4 - 7 years","Every day","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;In production;","speed, terse code, flexibility, API, programmability, batteries included (e.g. dcast, melt)","using it with panel data (cross sections of timeseries) with irregular/incomplete time series (with irregular gaps inside)","functions for irregular panel data, custom optimized serialization and desarialization of data.tables (like fread and fwrite for CSVs)","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","inplace","Maybe","Spreading the word about data.table;Reporting issues;Submitting requests for new features;Donating financially;","Spreading the word about data.table;",NA,"open source, innovation","maybe splitting into slow-moving stable and fast-moving experimental branches?",NA,NA,NA
380,"7+ years","2 - 4 years","Every day","Academic research;Side projects;","Data preparation;Statistical analysis;","Succinct syntax, joins",NA,NA,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied",NA,"Somewhat satisfied","Important","Important","Important","Important",NA,"Important","Very important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe",NA,NA,NA,NA,NA,NA,NA,NA
381,"7+ years","4 - 7 years","Every day","Professionally;","Data preparation;","< masked >","< masked >","< masked >","Very satisfied","Very dissatisfied","Very dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Very important","Very important","Somewhat important","Not important at all","Very important","Very important","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
382,"7+ years","4 - 7 years","Every week","Academic research;As a student;","Data preparation;Statistical analysis;As a dependency in my R package(s);","Speed; ease to use",NA,NA,"Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Important","Important","Important","Important","Important","Not important at all","Important","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
383,"7+ years","4 - 7 years","Every day","Academic research;Side projects;Professionally;","Data preparation;Statistical analysis;Machine learning;","Straightforward programming","Some packages do not recognize it","There is a lot of tricks I still do not know about data.table programming","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Very important","Very important","Very important","Very important","Very important","Important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
384,"2 - 4 years","3 - 12 months","Every week","Professionally;","Data preparation;Statistical analysis;","The (almost) consistent syntax","remembering all the side functionality","Bring some of the side functionality into the bracket [ ... ] notation","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Important","Extremely important","Extremely important","Very important","Important","Very important","Very important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Not useful to me","don't know","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","Spreading the word about data.table;","More hours in a day, more days in a week, ...","careful design of new features to maintain 100% consistency in parameters, spelling, expectations of the way things work, ...","careful incremental expansion",NA,NA,NA
385,"7+ years","4 - 7 years","Occasionally","Side projects;Professionally;","Statistical analysis;Data preparation;","Speed","Memory and syntax","Not sure","Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Important","Important","Important","Somewhat important","Somewhat important","Somewhat important","Very important","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Spreading the word about data.table;Giving talks/tutorials on data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
386,"7+ years","7+ years","Every week","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);",NA,NA,NA,"Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Very important","Extremely important","Not important at all","Very important","Important","Very important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;Donating financially;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
